procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3715648 383684 2754552    0    0     1    51    2    1  3  2 95  1  0
 0  0 106980 3715648 383684 2754564    0    0     0     0  265  537  1  0 99  0  0
 0  0 106980 3717320 383684 2754564    0    0     0    42  274  574  1  1 98  0  0
 0  0 106980 3717384 383684 2754572    0    0     0    10  269  545  1  1 99  0  0
 1  0 106980 3715336 383684 2754592    0    0     0    16  285  569  2  0 98  1  0
 0  0 106980 3717248 383684 2754668    0    0     0    60  269  568  0  1 99  0  0
 0  0 106980 3717252 383684 2754668    0    0     0    58  272  533  3  0 97  0  0
 0  0 106980 3715168 383684 2754596    0    0     0    90  269  576  0  1 99  0  0
 0  0 106980 3715212 383684 2754604    0    0     0    36  251  527  1  0 99  0  0
 0  0 106980 3717260 383684 2754620    0    0     0     2  243  503  1  1 99  0  0
 0  0 106980 3717260 383684 2754620    0    0     0    86  233  492  0  0 100  0  0
 0  0 106980 3717260 383684 2754620    0    0     0    30  241  492  1  0 99  0  0
 0  0 106980 3715148 383684 2754628    0    0     0    16  252  549  1  1 98  0  0
 0  0 106980 3717136 383684 2754680    0    0     0   104  240  506  1  1 99  0  0
 0  0 106980 3717136 383684 2754696    0    0     0     8  254  516  1  1 98  0  0
 0  0 106980 3717136 383684 2754696    0    0     0     0  251  534  1  1 99  0  0
 0  0 106980 3717136 383684 2754696    0    0     0   422  243  492  1  0 99  1  0
 0  0 106980 3715280 383684 2754612    0    0     0    14  256  553  2  1 98  0  0
 0  0 106980 3717204 383684 2754604    0    0     0    20  257  537  1  1 98  0  0
 0  0 106980 3713280 383684 2754660    0    0     0    78  235  507  0  0 100  0  0
 0  0 106980 3713284 383684 2754660    0    0     0     2  246  506  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3713284 383684 2754660    0    0     0    30  254  510  3  0 97  0  0
 0  0 106980 3713252 383684 2754664    0    0     0    32  259  544  1  1 98  0  0
 0  0 106980 3713344 383684 2754684    0    0     0     0  253  515  1  1 99  0  0
 0  0 106980 3713344 383684 2754684    0    0     0     0  239  505  0  0 100  0  0
 0  0 106980 3713344 383684 2754684    0    0     0    40  245  502  0  1 99  1  0
 0  0 106980 3715340 383684 2754684    0    0     0    18  259  546  1  0 99  0  0
 1  0 106980 3715388 383684 2754692    0    0     0     2  251  532  1  1 99  0  0
 0  0 106980 3715764 383684 2754732    0    0     0   108  256  525  1  1 99  0  0
 0  0 106980 3715980 383684 2754752    0    0     0     8  264  565  1  1 99  0  0
 0  0 106980 3716008 383684 2754760    0    0     0     0  244  495  0  1 99  0  0
 0  0 106980 3716008 383684 2754760    0    0     0    62  256  533  1  0 99  0  0
 0  0 106980 3714052 383684 2754748    0    0     0    16  272  559  2  1 98  0  0
 0  0 106980 3714084 383684 2754692    0    0     0   142  273  540  1  1 96  3  0
 0  0 106980 3714084 383684 2754692    0    0     0     0  247  505  1  0 99  0  0
 0  0 106980 3714084 383684 2754692    0    0     0     0  248  504  1  1 99  0  0
 0  0 106980 3714084 383684 2754692    0    0     0    14  238  497  3  0 97  0  0
 0  0 106980 3716112 383684 2754700    0    0     0     2  234  514  0  1 99  0  0
 0  0 106980 3716132 383684 2754720    0    0     0    20  242  520  0  1 96  3  0
 0  0 106980 3713520 383684 2754736    0    0     0    44  232  507  1  1 99  1  0
 0  0 106980 3713524 383684 2754736    0    0     0     0  230  487  1  1 99  0  0
 1  0 106980 3713512 383684 2754736    0    0     0    36  230  506  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3715556 383684 2754740    0    0     0    68  236  538  1  1 98  0  0
 0  0 106980 3715448 383684 2754748    0    0     0    38  234  512  0  1 99  0  0
 0  0 106980 3714020 383684 2754792    0    0     0     8  232  500  1  1 99  0  0
 0  0 106980 3716280 383684 2754740    0    0     0    84  277  623  2  1 96  1  0
 1  0 106980 3714828 383684 2754792    0    0     0    10  246  522  1  1 98  0  0
 0  0 106980 3716512 383684 2754796    0    0     0    90  240  527  1  1 99  0  0
 0  0 106980 3716564 383684 2754804    0    0     0   282  256  516  1  1 99  0  0
 0  0 106980 3714640 383684 2754824    0    0     0     6  250  523  1  1 99  0  0
 0  0 106980 3714640 383684 2754824    0    0     0    44  247  515  1  1 99  0  0
 0  0 106980 3714640 383684 2754824    0    0     0   106  265  513  3  0 97  0  0
 0  0 106980 3716612 383684 2754716    0    0     0     8  266  549  2  1 97  0  0
 0  0 106980 3716688 383684 2754712    0    0     0    82  255  518  1  1 99  0  0
 0  0 106980 3714640 383684 2754732    0    0     0     2  246  522  1  1 99  0  0
 0  0 106980 3714640 383684 2754732    0    0     0     0  247  514  1  0 99  0  0
 0  0 106980 3716676 383684 2754732    0    0     0    44  248  532  1  0 98  0  0
 1  0 106980 3716668 383684 2754740    0    0     0     2  250  527  0  1 99  0  0
 0  0 106980 3714764 383684 2754760    0    0     0    44  261  534  1  1 98  0  0
 0  0 106980 3714696 383684 2754840    0    0     0    82  271  544  2  0 98  0  0
 0  0 106980 3712720 383684 2754848    0    0     0     8  247  529  1  1 99  0  0
 1  0 106980 3711724 383684 2754888    0    0     0   494  246  520  1  1 99  0  0
 0  0 106980 3715324 383684 2754892    0    0     0     4  262  556  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3715320 383684 2754908    0    0     0     0  250  509  0  1 99  0  0
 0  0 106980 3715128 383684 2754908    0    0     0    30  246  513  1  0 99  0  0
 0  0 106980 3715132 383684 2754908    0    0     0     0  245  501  0  0 100  0  0
 0  0 106980 3715132 383684 2754908    0    0     0     4  265  529  3  1 97  0  0
 0  0 106980 3713180 383684 2754864    0    0     0    36  264  558  1  1 98  0  0
 0  0 106980 3713208 383684 2754836    0    0     0    58  261  532  1  0 99  0  0
 0  0 106980 3715256 383688 2754848    0    0     0    48  242  511  1  1 98  0  0
 2  0 106980 3715256 383688 2754852    0    0     0    54  231  490  1  1 99  0  0
 0  0 106980 3715256 383688 2754852    0    0     0    14  229  492  0  1 99  0  0
 1  0 106980 3714004 383688 2754964    0    0     0    16  245  567  1  1 98  0  0
 1  0 106980 3713940 383688 2754932    0    0     0    90  236  525  0  1 99  0  0
 0  0 106980 3716372 383688 2754952    0    0     0     8  249  520  1  1 99  0  0
 1  0 106980 3716372 383688 2754972    0    0     0     0  232  503  1  1 99  0  0
 0  0 106980 3715752 383688 2754996    0    0     0   100  235  505  0  0 99  0  0
 0  0 106980 3716560 383688 2755000    0    0     0     8  247  561  2  1 98  0  0
 0  0 106980 3716620 383688 2755008    0    0     0    68  252  518  1  0 99  0  0
 0  0 106980 3714572 383688 2755028    0    0     0     8  283  589  1  1 99  0  0
 0  0 106980 3714572 383688 2755028    0    0     0     0  243  511  1  0 99  0  0
 0  0 106980 3714572 383688 2755028    0    0     0    34  258  522  2  1 97  0  0
